"Code","Medal"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Bronze"
"CAN","Silver"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Gold"
"CAN","Silver"
"CAN","Bronze"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Bronze"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Bronze"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Silver"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CHN","Silver"
"CHN","Gold"
"CHN","Bronze"
"CHN","Bronze"
"CHN","Silver"
"CHN","Silver"
"CHN","Bronze"
"CHN","Bronze"
"CHN","Bronze"
"CHN","Gold"
"CHN","Gold"
"CHN","Bronze"
"CHN","Bronze"
"CHN","Silver"
"CHN","Gold"
"CHN","Bronze"
"CHN","Bronze"
"CHN","Bronze"
"CHN","Silver"
"CHN","Silver"
"CHN","Gold"
"CHN","Bronze"
"CHN","Silver"
"CHN","Bronze"
"CHN","Bronze"
"CHN","Bronze"
"CHN","Silver"
"CHN","Gold"
"CHN","Silver"
"CHN","Silver"
"CHN","Bronze"
"CHN","Silver"
"CHN","Bronze"
"CHN","Gold"
"CHN","Silver"
"CHN","Bronze"
"CHN","Gold"
"CHN","Bronze"
"CHN","Bronze"
"CHN","Bronze"
"CHN","Silver"
"CHN","Silver"
"CHN","Silver"
"CHN","Bronze"
"CHN","Silver"
"CHN","Silver"
"CHN","Silver"
"CHN","Bronze"
"CHN","Silver"
"CHN","Gold"
"CHN","Bronze"
"CHN","Silver"
"CHN","Gold"
"CHN","Bronze"
"CHN","Silver"
"CHN","Silver"
"CHN","Bronze"
"CHN","Silver"
"CHN","Bronze"
"CHN","Silver"
"CHN","Bronze"
"CHN","Bronze"
"CHN","Bronze"
"CHN","Bronze"
"CHN","Silver"
"CHN","Gold"
"CHN","Gold"
"CHN","Bronze"
"CHN","Bronze"
"CHN","Gold"
"CHN","Bronze"
"CHN","Bronze"
"CHN","Gold"
"CHN","Gold"
"CHN","Bronze"
"CHN","Gold"
"CHN","Silver"
"CHN","Silver"
"CHN","Bronze"
"CHN","Silver"
"CHN","Silver"
"CHN","Silver"
"CRO","Silver"
"CRO","Silver"
"CRO","Gold"
"CRO","Silver"
"CRO","Gold"
"CRO","Silver"
"CRO","Gold"
"CRO","Bronze"
"CRO","Silver"
"CRO","Silver"
"CRO","Gold"
"CZE","Bronze"
"CZE","Bronze"
"CZE","Bronze"
"CZE","Silver"
"CZE","Silver"
"CZE","Bronze"
"CZE","Gold"
"CZE","Bronze"
"CZE","Silver"
"CZE","Bronze"
"CZE","Bronze"
"CZE","Silver"
"CZE","Bronze"
"CZE","Gold"
"CZE","Silver"
"CZE","Bronze"
"CZE","Gold"
"CZE","Gold"
"CZE","Bronze"
"CZE","Bronze"
"CZE","Silver"
"CZE","Bronze"
"CZE","Bronze"
"CZE","Bronze"
"CZE","Bronze"
"CZE","Gold"
"CZE","Bronze"
"CZE","Gold"
"CZE","Bronze"
"CZE","Bronze"
"CZE","Bronze"
"CZE","Gold"
"CZE","Bronze"
"CZE","Silver"
"CZE","Gold"
"CZE","Silver"
"CZE","Gold"
"CZE","Bronze"
"CZE","Bronze"
"CZE","Silver"
"CZE","Bronze"
"CZE","Gold"
"CZE","Bronze"
"CZE","Gold"
"CZE","Gold"
"CZE","Gold"
"CZE","Bronze"
"CZE","Silver"
"CZE","Bronze"
"CZE","Bronze"
"CZE","Gold"
"CZE","Gold"
"CZE","Gold"
"CZE","Gold"
"CZE","Bronze"
"CZE","Silver"
"CZE","Gold"
"CZE","Bronze"
"CZE","Gold"
"CZE","Gold"
"CZE","Gold"
"CZE","Bronze"
"CZE","Gold"
"CZE","Bronze"
"CZE","Gold"
"CZE","Gold"
"CZE","Gold"
"CZE","Bronze"
"CZE","Bronze"
"CZE","Gold"
"CZE","Gold"
"CZE","Bronze"
"CZE","Silver"
"CZE","Bronze"
"CZE","Gold"
"DEN","Silver"
"DEN","Silver"
"DEN","Silver"
"DEN","Silver"
"DEN","Silver"
"ESP","Gold"
"ESP","Bronze"
"EST","Silver"
"EST","Gold"
"EST","Gold"
"EST","Gold"
"EST","Bronze"
"EST","Silver"
"EST","Gold"
"FIN","Silver"
"FIN","Gold"
"FIN","Bronze"
"FIN","Silver"
"FIN","Silver"
"FIN","Bronze"
"FIN","Silver"
"FIN","Bronze"
"FIN","Silver"
"FIN","Bronze"
"FIN","Silver"
"FIN","Bronze"
"FIN","Silver"
"FIN","Bronze"
"FIN","Silver"
"FIN","Silver"
"FIN","Gold"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Bronze"
"FIN","Silver"
"FIN","Gold"
"FIN","Bronze"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Gold"
"FIN","Gold"
"FIN","Gold"
"FIN","Bronze"
"FIN","Silver"
"FIN","Silver"
"FIN","Silver"
"FIN","Silver"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Silver"
"FIN","Gold"
"FIN","Silver"
"FIN","Gold"
"FIN","Silver"
"FIN","Bronze"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Gold"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Silver"
"FIN","Bronze"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Bronze"
"FIN","Gold"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Silver"
"FIN","Bronze"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Gold"
"FIN","Bronze"
"FIN","Silver"
"FIN","Silver"
"FIN","Silver"
"FIN","Bronze"
"FIN","Gold"
"FIN","Bronze"
"FIN","Silver"
"FIN","Silver"
"FIN","Gold"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Bronze"
"FIN","Gold"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Silver"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Bronze"
"FIN","Gold"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Gold"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Gold"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Silver"
"FIN","Gold"
"FIN","Silver"
"FIN","Silver"
"FIN","Bronze"
"FIN","Silver"
"FIN","Silver"
"FIN","Silver"
"FIN","Silver"
"FIN","Bronze"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Silver"
"FIN","Gold"
"FIN","Silver"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Gold"
"FIN","Gold"
"FIN","Gold"
"FIN","Gold"
"FIN","Bronze"
"FIN","Gold"
"FIN","Silver"
"FIN","Bronze"
"FIN","Gold"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Gold"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Gold"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Silver"
"FIN","Gold"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Gold"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Gold"
"FIN","Silver"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Silver"
"FIN","Gold"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Bronze"
"FIN","Gold"
